Timestamp,Cluster,Year,Program,Salary First,Salary Last,First Eval,Last Eval,Coop Terms, Uni Avg,HS Avg,Years in University,Gender,Stem Indicator
2019-07-04 02:27:18,1,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,0-5,0-5,1,<50,<50,1,Male,Yes
2019-07-04 13:12:10,6,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,9,9,1,<50,<50,1,Male,Yes
2019-07-04 13:12:51,4,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,9,0-5,1,95+,<50,1,Male,Yes
2019-07-04 17:38:28,1,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,0-5,0-5,1,<50,<50,1,Male,Yes
2019-07-04 17:42:17,5,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,0-5,0-5,1,<50,<50,1,Male,Yes
2019-07-05 06:04:25,1,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,0-5,0-5,1,<50,<50,1,Male,Yes
2019-07-05 06:05:12,1,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,0-5,0-5,1,<50,<50,1,Male,Yes
2019-07-05 08:29:09,1,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,0-5,0-5,1,<50,<50,1,Male,Yes
2019-07-05 12:47:35,4,1994,Chemical Engineering,$10 - $14,$15 - $20,9,10,6,95+,95+,5,Female,Yes
2019-07-07 15:40:02,4,2017,Electrical Engineering,$21 - $25,$30+,8,9,5,80-84,90-94,5,Male,Yes
